State/UTs,Total Cases,Active,Discharged,Deaths,Active Ratio,Discharge Ratio,Death Ratio,Population
Andaman and Nicobar,7714,9,7576,129,0.12,98.21,1.67,399001
Andhra Pradesh,2076492,1166,2060836,14490,0.06,99.25,0.7,91702478
Arunachal Pradesh,55332,16,55036,280,0.03,99.47,0.51,1711947
Assam,620134,2075,611903,6156,0.33,98.67,0.99,35998752
Bihar,726456,99,714263,12094,0.01,98.32,1.66,128500364
Chandigarh,65774,101,64595,1078,0.15,98.21,1.64,1158040
Chhattisgarh,1007623,330,993696,13597,0.03,98.62,1.35,32199722
Dadra and Nagar Haveli and Daman and Diu,10691,1,10686,4,0.01,99.95,0.04,773997
Delhi,1443352,1103,1417144,25105,0.08,98.18,1.74,19301096
Goa,180050,449,176082,3519,0.25,97.8,1.95,1521992
Gujarat,829359,948,818298,10113,0.11,98.67,1.22,70400153
Haryana,772633,495,762076,10062,0.06,98.63,1.3,28900667
Himachal Pradesh,228549,346,224330,3873,0.15,98.15,1.69,7503010
Jammu and Kashmir,340722,1350,334849,4523,0.4,98.28,1.33,14999397
Jharkhand,349867,361,344364,5142,0.1,98.43,1.47,40100376
Karnataka,3004587,7447,2958828,38312,0.25,98.48,1.28,69599762
Kerala,5235122,23372,5165164,46586,0.45,98.66,0.89,34698876
Ladakh,22091,209,21664,218,0.95,98.07,0.99,290492
Lakshadweep,10415,7,10357,51,0.07,99.44,0.49,66001
Madhya Pradesh,793696,252,782912,10532,0.03,98.64,1.33,85002417
Maharashtra,6657888,13498,6502957,141433,0.2,97.67,2.12,124904071
Manipur,125723,182,123540,2001,0.14,98.26,1.59,3436948
Meghalaya,84793,64,83246,1483,0.08,98.18,1.75,3772103
Mizoram,140564,1399,138626,539,1.0,98.62,0.38,1308967
Nagaland,32174,77,31395,702,0.24,97.58,2.18,2073074
Odisha,1053881,1503,1043926,8452,0.14,99.06,0.8,47099270
Puducherry,129415,127,127408,1880,0.1,98.45,1.45,1646050
Punjab,604236,378,587220,16638,0.06,97.18,2.75,30501026
Rajasthan,955480,318,946199,8963,0.03,99.03,0.94,79502477
Sikkim,32480,61,32010,409,0.19,98.55,1.26,658019
Tamil Nadu,2744037,6629,2700673,36735,0.24,98.42,1.34,83697770
Telengana,680662,3417,673223,4022,0.5,98.91,0.59,38157311
Tripura,85005,48,84128,829,0.06,98.97,0.98,4184959
Uttar Pradesh,1710931,323,1687693,22915,0.02,98.64,1.34,231502578
Uttarakhand,344779,231,337132,7416,0.07,97.78,2.15,11700099
West Bengal,1630626,7450,1603460,19716,0.46,98.33,1.21,100896618
