Country,Total Cases,Total Deaths,Total Recovered,Active Cases,Total Cases/1M population,Deaths/1M population,Total Tests,Tests/1M population,Population
Afghanistan,158056,7356,145606.0,5094.0,3928,183,820849.0,20402.0,40234070
Albania,208899,3212,200181.0,5506.0,72708,1118,1473154.0,512739.0,2873109
Algeria,217647,6263,149617.0,61767.0,4833,139,230861.0,5127.0,45030899
Andorra,22823,140,20563.0,2120.0,294684,1808,249838.0,3225839.0,77449
Angola,78475,1760,64124.0,12591.0,2282,51,1273800.0,37042.0,34387598
Anguilla,1674,5,1640.0,29.0,110110,329,51382.0,3379728.0,15203
Antigua and Barbuda,4259,118,4060.0,81.0,42960,1190,18559.0,187204.0,99138
Argentina,5556239,117111,5283910.0,155218.0,121278,2556,27790142.0,606583.0,45814218
Armenia,344826,7968,331348.0,5510.0,116044,2681,2560870.0,861809.0,2971506
Aruba,19021,181,16731.0,2109.0,177035,1685,177885.0,1655637.0,107442
Australia,362691,2225,245297.0,115169.0,13981,86,54648003.0,2106627.0,25940997
Austria,1274995,13701,1232226.0,29068.0,140371,1508,123226848.0,13566686.0,9083047
Azerbaijan,616352,8346,598793.0,9213.0,59983,812,5853336.0,569642.0,10275459
Bahamas,24269,716,21789.0,1764.0,60848,1795,182597.0,457812.0,398847
Bahrain,280876,1394,277108.0,2374.0,156953,779,7983336.0,4461071.0,1789556
Bangladesh,1585027,28070,1548811.0,8146.0,9483,168,11472815.0,68644.0,167135949
Barbados,28063,260,26848.0,955.0,97475,903,467711.0,1624561.0,287900
Belarus,697600,5561,690505.0,1534.0,73862,589,11022249.0,1167032.0,9444686
Belgium,2075781,28267,1706312.0,341202.0,177952,2423,27122517.0,2325147.0,11664862
Belize,32067,597,30545.0,925.0,78522,1462,379996.0,930489.0,408383
Benin,24935,161,24705.0,69.0,1980,13,604310.0,47977.0,12595948
Bermuda,6014,106,5674.0,234.0,97102,1711,685295.0,11064745.0,61935
Bhutan,2660,3,2649.0,8.0,3392,4,1286842.0,1640802.0,784276
Bolivia,585624,19622,523779.0,42223.0,49169,1647,2633963.0,221149.0,11910376
Bosnia and Herzegovina,290471,13428,192218.0,84825.0,89366,4131,1479046.0,455040.0,3250365
Botswana,212482,2439,196455.0,13588.0,87717,1007,2015878.0,832196.0,2422361
Brazil,22263834,618870,21567845.0,77119.0,103643,2881,63776166.0,296892.0,214812911
Brunei,15470,98,15272.0,100.0,34864,221,687114.0,1548513.0,443725
Bulgaria,740682,30819,610724.0,99139.0,107808,4486,7386068.0,1075059.0,6870385
Burkina Faso,17632,318,16619.0,695.0,810,15,239193.0,10994.0,21756518
Burundi,27366,38,773.0,26555.0,2204,3,345742.0,27842.0,12417834
Cabo Verde,39947,351,38211.0,1385.0,70704,621,389139.0,688753.0,564991
Cambodia,120487,3012,116907.0,568.0,7061,177,2761485.0,161832.0,17063869
Cameroon,109367,1851,106050.0,1466.0,3973,67,1751774.0,63632.0,27529766
Canada,2102474,30248,1864799.0,207427.0,54987,791,52408105.0,1370661.0,38235634
CAR,12163,101,6859.0,5203.0,2455,20,74519.0,15039.0,4954897
Caribbean Netherlands,3336,23,3193.0,120.0,125480,865,30126.0,1133153.0,26586
Cayman Islands,8386,11,4799.0,3576.0,125402,164,215963.0,3229450.0,66873
Chad,5701,181,4874.0,646.0,333,11,180347.0,10530.0,17127409
Channel Islands,25998,113,22189.0,3696.0,147504,641,1123134.0,6372283.0,176253
Chile,1802891,39063,1722302.0,41526.0,93120,2018,27232477.0,1406570.0,19360907
China,101890,4636,94691.0,2563.0,71,3,160000000.0,111163.0,1439323776
Colombia,5138603,129866,4965217.0,43520.0,99409,2512,29479920.0,570305.0,51691542
Comoros,6284,156,4551.0,1577.0,7004,174,,,897193
Congo,20089,367,12421.0,7301.0,3512,64,301494.0,52706.0,5720330
Costa Rica,570556,7353,560709.0,2494.0,110498,1424,2965435.0,574309.0,5163485
Croatia,709678,12493,671664.0,25521.0,174476,3071,3743534.0,920355.0,4067487
Cuba,965243,8321,956097.0,825.0,85297,735,11626920.0,1027449.0,11316301
Curaçao,20199,187,17674.0,2338.0,122348,1133,391243.0,2369820.0,165094
Cyprus,157928,635,124370.0,32923.0,129400,520,9477138.0,7765173.0,1220467
Czechia,2469951,36061,2304176.0,129714.0,230006,3358,46866575.0,4364301.0,10738621
Denmark,769766,3256,586027.0,180483.0,132202,559,106452714.0,18282583.0,5822630
Djibouti,13619,189,13350.0,80.0,13492,187,257996.0,255590.0,1009415
Dominica,6520,44,6173.0,303.0,90238,609,121399.0,1680193.0,72253
Dominican Republic,416270,4246,407783.0,4241.0,37808,386,2568096.0,233249.0,11010118
DRC,74793,1205,50930.0,22658.0,799,13,846704.0,9045.0,93613410
Ecuador,542960,33650,443880.0,65430.0,30094,1865,2136008.0,118389.0,18042354
Egypt,383857,21695,319225.0,42937.0,3648,206,3693367.0,35105.0,105210099
El Salvador,121741,3823,107088.0,10830.0,18629,585,1505621.0,230393.0,6535022
Equatorial Guinea,13637,175,13410.0,52.0,9267,119,263190.0,178851.0,1471562
Eritrea,7948,74,7711.0,163.0,2196,20,23693.0,6546.0,3619586
